startpunkt,horisont_ar,faktisk,modell,naiv,feil_modell,feil_naiv,innenfor80
1995-01,1,0.030000000000000103,0.03305743604559583,0.04166666666666634,0.0030574360455957253,0.011666666666666235,True
1995-01,3,0.022171460057151485,0.03743720594446541,0.04166666666666634,0.015265745887313924,0.019495206609514853,True
1995-01,5,0.027271418190747215,0.04055269211006232,0.04166666666666634,0.013281273919315106,0.014395248475919123,True
1995-01,10,0.03332978217108808,0.04269235670588574,0.04166666666666634,0.009362574534797656,0.008336884495578255,True
1995-02,1,0.01980198019801966,0.0391561925959322,0.05208333333333325,0.01935421239791254,0.03228135313531359,True
1995-02,3,0.020057070564880312,0.04088204056090507,0.05208333333333325,0.020824969996024754,0.03202626276845294,True
1995-02,5,0.026302279040093912,0.0422810043833457,0.05208333333333325,0.015978725343251787,0.02578105429323934,True
1995-02,10,0.032599204529146004,0.04331835438876083,0.05208333333333325,0.010719149859614828,0.019484128804187248,True
1995-03,1,0.01574803149606335,0.04063497745852091,0.05833333333333297,0.024886945962457562,0.04258530183726962,True
1995-03,3,0.018677837773574672,0.04306613501603203,0.05833333333333297,0.024388297242457356,0.0396554955597583,True
1995-03,5,0.02544354172175495,0.044769507545589615,0.05833333333333297,0.019325965823834664,0.032889791611578026,True
1995-03,10,0.03228394066373545,0.0448851881444393,0.05833333333333297,0.012601247480703848,0.02604939266959752,True
1995-04,1,0.01562500000000005,0.037291384221137015,0.06004140786749519,0.021666384221136967,0.04441640786749514,True
1995-04,3,0.020413775479336926,0.04031725788993713,0.06004140786749519,0.019903482410600207,0.039627632388158265,True
1995-04,5,0.024191507622201066,0.04259846074471556,0.06004140786749519,0.018406953122514492,0.03584990024529412,True
1995-04,10,0.031474619474029956,0.04428706206563307,0.06004140786749519,0.012812442591603114,0.028566788393465235,True
1995-05,1,0.01562500000000005,0.033248318571680924,0.04703476482617591,0.017623318571680875,0.031409764826175864,True
1995-05,3,0.021662753195389017,0.03770530578743131,0.04703476482617591,0.016042552592042292,0.025372011630786895,True
1995-05,5,0.024191507622201066,0.04092415703035411,0.04703476482617591,0.016732649408153045,0.022843257203974846,True
1995-05,10,0.03191709156313375,0.04387605107338347,0.04703476482617591,0.011958959510249723,0.015117673263042163,True
1995-06,1,0.01562500000000005,0.03264804717202335,0.04276985743380868,0.017023047172023305,0.02714485743380863,True
1995-06,3,0.021662753195389017,0.03874180509918206,0.04276985743380868,0.017079051903793045,0.02110710423841966,True
1995-06,5,0.024900536690375605,0.04166824264201141,0.04276985743380868,0.016767705951635806,0.017869320743433073,True
1995-06,10,0.032064203583174355,0.044177272965575484,0.04276985743380868,0.012113069382401129,0.010705653850634322,True
1995-07,1,0.013645224171540061,0.032125063610867644,0.0426829268292684,0.018479839439327583,0.02903770265772834,True
1995-07,3,0.021621412974925595,0.038198171301408596,0.0426829268292684,0.016576758326483,0.021061513854342805,True
1995-07,5,0.02520744997959514,0.04132389671263091,0.0426829268292684,0.01611644673303577,0.01747547684967326,True
1995-07,10,0.032009739653925756,0.04334257715083936,0.0426829268292684,0.011332837496913606,0.010673187175342644,True
1995-08,1,0.013645224171540061,0.029579861438926044,0.036363636363636216,0.015934637267385983,0.022718412192096155,True
1995-08,3,0.021621412974925595,0.03507095922929716,0.036363636363636216,0.013449546254371569,0.014742223388710621,True
1995-08,5,0.025560118604490884,0.03975363343775656,0.036363636363636216,0.014193514833265673,0.010803517759145332,True
1995-08,10,0.03230296608577795,0.042687775138351904,0.036363636363636216,0.010384809052573954,0.0040606702778582665,True
1995-09,1,0.015594541910331524,0.027835263241922766,0.03427419354838701,0.012240721331591242,0.01867965163805549,True
1995-09,3,0.02224359425720907,0.03472140957799525,0.03427419354838701,0.012477815320786182,0.012030599291177942,True
1995-09,5,0.027666009278445522,0.03952181864500405,0.03427419354838701,0.011855809366558528,0.006608184269941489,True
1995-09,10,0.03259544480787492,0.04243238021952081,0.03427419354838701,0.009836935411645889,0.0016787487405120899,True
1995-10,1,0.017543859649122896,0.024857585098799262,0.03219315895372245,0.007313725449676366,0.014649299304599551,True
1995-10,3,0.02657781032990972,0.03248457308354907,0.03219315895372245,0.005906762753639352,0.005615348623812726,True
1995-10,5,0.02836415259197917,0.037311397424669726,0.03219315895372245,0.008947244832690555,0.003829006361743277,True
1995-10,10,0.03274140503333375,0.042754190379380344,0.03219315895372245,0.010012785346046597,-0.000548246079611299,True
1995-11,1,0.017543859649122896,0.02389647615821053,0.030120481927710843,0.006352616509087635,0.012576622278587947,True
1995-11,3,0.02657781032990972,0.03136942072658813,0.030120481927710843,0.004791610396678411,0.003542671597801122,True
1995-11,5,0.028712514512226294,0.037920259089102445,0.030120481927710843,0.009207744576876151,0.001407967415484549,True
1995-11,10,0.033902453001458555,0.042876576525279556,0.030120481927710843,0.008974123523821001,-0.0037819710737477114,True
1995-12,1,0.01949317738791425,0.023318237328362443,0.030120481927710843,0.0038250599404481937,0.010627304539796593,True
1995-12,3,0.02657781032990972,0.03271434900597954,0.030120481927710843,0.006136538676069819,0.003542671597801122,True
1995-12,5,0.030792839931688472,0.03738586961343736,0.030120481927710843,0.006593029681748887,-0.0006723580039776286,True
1995-12,10,0.03404676211153795,0.04059409701528843,0.030120481927710843,0.006547334903750486,-0.003926280183827104,True
1996-01,1,0.015533980582524372,0.02157262965841127,0.030000000000000103,0.0060386490758868976,0.014466019417475731,True
1996-01,3,0.025862577646651556,0.03111928230955207,0.030000000000000103,0.005256704662900513,0.004137422353348547,True
1996-01,5,0.03171050462151473,0.03636302078891071,0.030000000000000103,0.004652516167395981,-0.001710504621514626,True
1996-01,10,0.03378855905933737,0.04078958103265523,0.030000000000000103,0.00700102197331786,-0.003788559059337268,True
1996-02,1,0.01747572815533984,0.017302217390986564,0.01980198019801966,-0.00017351076435327684,0.002326252042679819,True
1996-02,3,0.026477234820463717,0.02727301955017595,0.01980198019801966,0.0007957847297122324,-0.006675254622444057,True
1996-02,5,0.03239511737061734,0.033255131163370956,0.01980198019801966,0.0008600137927536125,-0.012593137172597683,True
1996-02,10,0.03407616212487273,0.03912283245200904,0.01980198019801966,0.005046670327136307,-0.01427418192685307,True
1996-03,1,0.017441860465116102,0.02112564265390801,0.01574803149606335,0.0036837821887919092,-0.0016938289690527526,True
1996-03,3,0.02642723210189824,0.030661519537412477,0.01574803149606335,0.0042342874355142356,-0.010679200605834892,True
