periode,indeks
2003-11,65.6
2003-12,66.1
2004-01,66.4
2004-02,66.5
2004-03,66.8
2004-04,67.1
2004-05,67.3
2004-06,67.7
2004-07,68.0
2004-08,68.1
2004-09,68.3
2004-10,68.5
2004-11,68.6
2004-12,69.2
2005-01,69.4
2005-02,69.6
2005-03,69.8
2005-04,69.8
2005-05,70.1
2005-06,70.2
2005-07,70.3
2005-08,70.5
2005-09,70.7
2005-10,70.8
2005-11,71.6
2005-12,71.7
2006-01,71.8
2006-02,72.0
2006-03,72.2
2006-04,72.4
2006-05,72.9
2006-06,73.1
2006-07,73.2
2006-08,73.5
2006-09,73.7
2006-10,74.4
2006-11,75.5
2006-12,75.7
2007-01,76.0
2007-02,76.2
2007-03,76.3
2007-04,76.9
2007-05,77.4
2007-06,77.6
2007-07,77.6
2007-08,78.1
2007-09,78.3
2007-10,78.6
2007-11,80.0
2007-12,80.4
2008-01,80.8
2008-02,81.3
2008-03,81.5
2008-04,81.8
2008-05,82.1
2008-06,82.4
2008-07,82.6
2008-08,83.2
2008-09,83.3
2008-10,83.8
2008-11,84.3
2008-12,84.1
2009-01,84.0
2009-02,84.1
2009-03,84.0
2009-04,83.9
2009-05,83.9
2009-06,83.9
2009-07,84.1
2009-08,84.5
2009-09,84.6
2009-10,84.7
2009-11,84.7
2009-12,84.9
2010-01,85.0
2010-02,85.6
2010-03,86.0
2010-04,86.4
2010-05,86.7
2010-06,86.7
2010-07,86.7
2010-08,86.9
2010-09,87.0
2010-10,87.3
2010-11,87.8
2010-12,87.9
2011-01,88.5
2011-02,88.9
2011-03,89.3
2011-04,89.6
2011-05,89.9
2011-06,90.2
2011-07,90.2
2011-08,90.3
2011-09,90.3
2011-10,90.6
2011-11,91.1
2011-12,91.2
2012-01,91.4
2012-02,91.7
2012-03,92.1
2012-04,92.1
2012-05,92.4
2012-06,92.4
2012-07,92.4
2012-08,92.8
2012-09,93.0
2012-10,93.1
2012-11,93.7
2012-12,93.7
2013-01,94.2
2013-02,94.5
2013-03,94.5
2013-04,94.7
2013-05,95.1
2013-06,95.1
2013-07,95.2
2013-08,95.8
2013-09,95.8
2013-10,95.9
2013-11,96.2
2013-12,96.2
2014-01,96.5
2014-02,97.0
2014-03,97.1
2014-04,97.6
2014-05,97.8
2014-06,97.9
2014-07,97.9
2014-08,98.3
2014-09,98.4
2014-10,98.4
2014-11,98.7
2014-12,98.8
2015-01,99.1
2015-02,99.5
2015-03,99.6
2015-04,99.8
2015-05,100.0
2015-06,99.9
2015-07,100.1
2015-08,100.1
2015-09,100.2
2015-10,100.4
2015-11,100.7
2015-12,100.8
2016-01,100.9
2016-02,101.3
2016-03,101.2
2016-04,101.8
2016-05,102.3
2016-06,102.4
2016-07,102.7
2016-08,103.0
2016-09,102.9
2016-10,103.1
2016-11,103.4
2016-12,103.7
2017-01,103.8
2017-02,104.3
2017-03,104.4
2017-04,104.7
2017-05,105.1
2017-06,105.2
2017-07,105.2
2017-08,105.5
2017-09,105.5
2017-10,105.9
2017-11,106.3
2017-12,106.6
2018-01,107.0
2018-02,107.6
2018-03,107.7
2018-04,108.1
2018-05,108.5
2018-06,108.6
2018-07,108.9
2018-08,109.7
2018-09,109.8
2018-10,110.1
2018-11,110.1
2018-12,110.2
2019-01,110.7
2019-02,111.0
2019-03,111.1
2019-04,111.4
2019-05,111.9
2019-06,111.6
2019-07,111.6
2019-08,112.4
2019-09,112.2
2019-10,112.5
2019-11,112.4
2019-12,112.6
2020-01,113.1
2020-02,112.7
2020-03,112.4
2020-04,113.4
2020-05,114.2
2020-06,114.0
2020-07,114.4
2020-08,114.4
2020-09,114.3
2020-10,115.0
2020-11,115.2
2020-12,115.7
2021-01,117.5
2021-02,118.0
2021-03,118.4
2021-04,118.5
2021-05,119.4
2021-06,120.0
2021-07,121.7
2021-08,123.0
2021-09,123.1
2021-10,124.1
2021-11,125.0
2021-12,124.5
2022-01,125.9
2022-02,124.8
2022-03,125.9
2022-04,127.6
2022-05,129.1
2022-06,129.3
2022-07,130.7
2022-08,131.7
2022-09,131.8
2022-10,132.8
2022-11,134.1
2022-12,133.7
2023-01,134.3
2023-02,134.8
2023-03,134.5
2023-04,135.3
2023-05,136.3
2023-06,136.0
2023-07,135.8
2023-08,136.4
2023-09,136.5
2023-10,137.3
2023-11,137.8
2023-12,137.8
2024-01,138.9
2024-02,138.8
2024-03,139.0
2024-04,139.1
2024-05,141.2
2024-06,141.2
2024-07,141.3
2024-08,140.8
2024-09,141.1
2024-10,141.4
2024-11,142.1
2024-12,142.2
2025-01,143.1
2025-02,144.3
2025-03,143.8
2025-04,144.4
2025-05,147.5
2025-06,147.0
2025-07,146.9
2025-08,146.7
2025-09,147.0
2025-10,147.1
2025-11,148.3
2025-12,148.3
2026-01,151.0
2026-02,151.0
2026-03,150.1
2026-04,150.5
2026-05,155.0
2026-06,154.6
2026-07,155.0
2026-08,154.4
