kjørt,siste_periode,siste_indeks,horisont_ar,median,p10,p90
2026-09-15,2026-08,154.4,1,0.0405071785616284,0.0265280899584802,0.0626827730629308
2026-09-15,2026-08,154.4,3,0.0382869779893382,0.0264646619403512,0.0559404833257606
2026-09-15,2026-08,154.4,5,0.0378907769935466,0.0266635050545486,0.0523339585493455
2026-09-15,2026-08,154.4,10,0.0374257130189238,0.0281430926126456,0.0481781424050914
2026-09-16,2026-08,154.4,1,0.04050717856162843,0.02652808995848026,0.06268277306293088
2026-09-16,2026-08,154.4,3,0.03828697798933827,0.02646466194035126,0.05594048332576063
2026-09-16,2026-08,154.4,5,0.03789077699354667,0.026663505054548668,0.05233395854934553
2026-09-16,2026-08,154.4,10,0.037425713018923834,0.02814309261264566,0.048178142405091405
