horisont_ar,median,gjennomsnitt,p5,p10,p25,p75,p90,p95,bredde_80,bredde_90,skjevhet,kurtose,form,sanns_over_null,siste_periode,kjørt
1,0.04050717856162843,0.042939968083133134,0.021530686243005377,0.02652808995848026,0.03344149478220732,0.05187716234840684,0.06268277306293088,0.0677991731182784,0.03615468310445062,0.04626848687527303,0.5673971697285004,0.7943549159612275,tydelig høyreskjev,0.9997,2026-08,2026-09-15
3,0.03828697798933827,0.03985028521868848,0.023229649503990233,0.02646466194035126,0.03163385750621478,0.04675853161000583,0.05594048332576063,0.0615967928984311,0.029475821385409374,0.03836714339444086,0.6385735828805468,0.4825813597019355,tydelig høyreskjev,1.0,2026-08,2026-09-15
5,0.03789077699354667,0.03877925115178156,0.023907570258316708,0.026663505054548668,0.0315854307026946,0.04506307884886221,0.05233395854934553,0.056911104628219675,0.02567045349479686,0.03300353436990297,0.44779555217069245,0.20913769345474575,tydelig høyreskjev,1.0,2026-08,2026-09-15
10,0.037425713018923834,0.03788415260034718,0.026030476319606338,0.02814309261264566,0.03241511340426012,0.042926565834075434,0.048178142405091405,0.05142852040673842,0.020035049792445744,0.02539804408713208,0.31051754874922033,0.06618971352370728,tydelig høyreskjev,1.0,2026-08,2026-09-15
